Rank,Name,Classical,Rapid,Blizt
1,Magnus Carlsen,2830,2828,2886
2,Fabiano Caruana,2805,2738,2777
3,Hikaru Nakamura,2794,2746,2874
4,Ian Nepomniachtchi,2770,2754,2800
5,Nodirbek Abdusattorov,2765,2733,2661
6,Gukesh Dommaraju,2763,2649,2651
7,Ding Liren,2762,2775,2787
8,Arjun Erigaisi,2761,2671,2744
9,Wesley So,2757,2722,2773
10,Wei Yi,2755,2758,2684
11,Viswanathan Anand,2751,2749,2709
12,Sergey Karjakin,2750,2724,2646
13,Leinier Dominguez Perez,2748,2693,2651
14,Praggnanandhaa Rameshbabu,2747,2704,2675
15,Anish Giri,2745,2687,2715
16,Alireza Firouzja,2737,2724,2863
17,Shakhriyar Mamedyarov,2733,2671,2700
18,Parham Maghsoodloo,2732,2650,2654
19,Maxime Vachier-Lagrave,2732,2747,2764
20,Le Quang Liem,2731,2659,2700
21,Jan-Krzysztof Duda,2731,2748,2766
22,Levon Aronian,2729,2750,2766
23,Yu Yangyi,2728,2708,2736
24,Alexander Grischuk,2728,2670,2681
25,Veselin Topalov,2727,2632,2657
26,Vincent Keymer,2726,2627,2610
27,Teimour Radjabov,2723,2668,2674
28,Vidit Santosh Gujrathi,2721,2701,2657
29,Richard Rapport,2719,2718,2745
30,Daniil Dubov,2707,2716,2802
31,Amin Tabatabaei,2707,2565,2610
32,Pavel Eljanov,2706,2620,2598
33,Vladislav Artemiev,2705,2747,2802
34,Andrey Esipenko,2703,2650,2624
35,Alexey Sarana,2703,2648,2703
36,Wang Hao,2702,2700,2628
37,Vladimir Fedoseev,2701,2729,2674
38,Pentala Harikrishna,2701,2634,2641
39,Sam Sevian,2698,2614,2693
40,Nihal Sarin,2698,2653,2704
41,Ray Robson,2695,2645,2640
42,Narayanan Sunilduth Lyna,2695,2598,2640
43,Bogdan-Daniel Deac,2692,2641,2637
44,Sanan Sjugirov,2689,2540,2599
45,Peter Svidler,2689,2734,2686
46,Nikita Vitiugov,2688,2617,2673
47,Etienne Bacrot,2686,2652,2631
48,Rustam Kasimdzhanov,2685,2648,2586
49,Javokhir Sindarov,2684,2641,2616
50,Bu Xiangzhi,2684,2578,2760
51,Evgeny Tomashevsky,2681,2633,2645
52,David Navara,2678,2701,2688
53,Bassem Amin,2678,2576,2635
54,Haik Martirosyan,2678,2599,2701
55,Hans Moke Niemann,2676,2598,2611
56,David Howell,2675,2612,2567
57,Kirill Shevchenko,2675,2618,2550
58,Andrei Volokitin,2674,2606,2545
59,Alexandr Predke,2673,2573,2587
60,David Anton Guijarro,2673,2635,2598
61,Michael Adams,2673,2647,2704
62,Radoslaw Wojtaszek,2671,2654,2604
63,Gabriel Sargissian,2671,2608,2579
64,Samuel Shankland,2671,2600,2648
65,Grigoriy Oparin,2670,2655,2659
66,Ivan Saric,2670,2615,2597
67,Jorden van Foreest,2668,2659,2606
68,Peter Leko,2666,2710,2738
69,Nodirbek Yakubboev,2665,2536,2588
70,Nils Grandelius,2664,2640,2573
71,Evgeniy Najer,2663,2568,2517
72,Aravindh Chithambaram,2662,2545,2599
73,Maxim Matlakov,2662,2633,2599
74,Arkadij Naiditsch,2661,2580,2568
75,Boris Gelfand,2661,2620,2577
76,Alexei Shirov,2661,2626,2640
77,Ernesto Inarkiev,2658,2624,2556
78,Francisco Vallejo Pons,2657,2638,2584
79,Kirill Alekseenko,2655,2630,2668
80,Wang Yue,2654,2710,2666
81,Yuriy Kryvoruchko,2654,2697,2595
82,Raunak Sadhwani,2654,2558,2676
83,Anton Korobov,2651,2614,2630
84,Rauf Mamedov,2651,2617,2638
85,Li Chao,2651,2618,2693
86,Matthias Bluebaum,2649,2608,2621
87,Ni Hua,2649,2626,2579
88,Vladimir Malakhov,2648,2666,2622
89,Mateusz Bartel,2647,2522,2497
90,Jeffery Xiong,2646,2714,2707
91,Ruslan Ponomariov,2646,2654,2604
92,Jonas Buhl Bjerre,2646,2523,2519
93,Alan Pichot,2644,2555,2518
94,Samvel Ter-Sahakyan,2644,2542,2540
95,Thai Dai Van Nguyen,2643,2525,2563
96,Ante Brkic,2643,2539,2564
97,Tamir Nabaty,2643,2658,2627
98,Awonder Liang,2642,2519,2527
99,Ma Qun,2641,2589,2602
100,Mustafa Yilmaz,2641,2547,2523
101,Maxime Lagarde,2640,2569,2561
102,Hrant Melkumyan,2640,2686,2604
103,Ivan Cheparinov,2638,2638,2593
104,Johan-Sebastian Christiansen,2637,2458,2560
105,Shant Sargsyan,2637,2601,2609
106,Gadir Guseinov,2636,2605,2583
107,Dmitrij Kollars,2635,2553,2575
108,Erwin l'Ami,2634,2647,2675
109,Aryan Tari,2634,2547,2579
110,Nguyen Ngoc Truong Son,2633,2559,2548
111,Alexander Donchenko,2633,2574,2569
112,Laurent Fressinet,2633,2607,2593
113,Max Warmerdam,2633,2531,2530
114,Volodar Murzin,2632,2591,2642
115,Hou Yifan,2632,2545,2561
